epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,100.309,1.12426,1.13447,1.10811,1.04044,0.74935,0.44444,0.50094,0.22592,0,0,0,0,2.11317,111.177,2.53107,1.83794,0.0414206,0.000420611,0.000420611
31,102.511,1.12846,0.92795,0.95597,1.01842,0.74935,0.44444,0.50094,0.22592,0,0,0,0,2.11317,111.177,2.53107,1.83794,0.0394288,0.00042883,0.00042883
32,105.911,1.23056,1.22451,1.16519,1.08273,0.55537,0.55518,0.43023,0.20154,0,0,0,0,2.03809,96.7625,2.66236,1.75849,0.0374367,0.000436653,0.000436653
33,108.449,1.22932,1.03502,1.06429,1.12325,0.49741,0.55037,0.42187,0.18617,0.01613,0.11111,0.00966,0.00193,2.08821,81.4963,2.80984,1.73162,0.0354441,0.00044408,0.00044408
34,111.652,0.94807,0.89069,0.99791,1.04596,0.49741,0.55037,0.42187,0.18617,0.01613,0.11111,0.00966,0.00193,2.08821,81.4963,2.80984,1.73162,0.0334511,0.000451111,0.000451111
35,114.833,1.13026,0.7802,0.91695,1.03351,0.43113,0.33732,0.42373,0.2184,0.02,0.11111,0.01131,0.00113,2.07559,77.2458,2.94337,1.65155,0.0314577,0.000457746,0.000457746
36,117.75,1.0887,0.81656,0.96725,1.05636,0.54925,0.33333,0.29961,0.17241,0,0,0,0,1.99236,75.278,3.0709,1.65399,0.029464,0.000463985,0.000463985
37,120.001,1.14119,1.00135,1.08082,1.0325,0.54925,0.33333,0.29961,0.17241,0,0,0,0,1.99236,75.278,3.0709,1.65399,0.0274698,0.000469828,0.000469828
38,123.064,1.03862,0.93145,0.97206,1.02549,0.40003,0.33333,0.25447,0.1464,0,0,0,0,2.01544,61.0402,3.25484,1.69697,0.0254753,0.000475275,0.000475275
39,125.648,1.1041,0.87029,0.93819,1.0666,0.46604,0.33333,0.28829,0.14277,0.90105,0.11111,0.12158,0.02432,1.8543,45.1531,3.35085,1.67778,0.0234803,0.000480326,0.000480326
40,128.915,1.16463,1.1605,1.05245,1.05358,0.46604,0.33333,0.28829,0.14277,0.90105,0.11111,0.12158,0.02432,1.8543,45.1531,3.35085,1.67778,0.021485,0.000484981,0.000484981
41,132.353,1.11746,1.05707,1.02802,1.08628,0.97041,0.33333,0.437,0.22461,0.68213,0.11111,0.11974,0.03592,1.837,31.2278,2.87864,1.64267,0.0194892,0.00048924,0.00048924
42,135.669,1.04034,0.96512,0.99574,0.9854,0.76621,0.44444,0.43589,0.19791,0.55988,0.33333,0.3017,0.07946,1.93348,21.3492,2.85796,1.67566,0.0174931,0.000493103,0.000493103
43,138.967,1.17165,0.86392,0.93241,1.03031,0.76621,0.44444,0.43589,0.19791,0.55988,0.33333,0.3017,0.07946,1.93348,21.3492,2.85796,1.67566,0.0154966,0.00049657,0.00049657
44,141.364,1.19777,1.21595,1.0377,1.15898,0.47566,0.44444,0.31046,0.172,0.47566,0.44444,0.29077,0.17598,2.16181,12.6673,3.13969,1.74983,0.0134996,0.000499641,0.000499641
45,144.325,1.15353,0.90428,0.95877,1.02105,0.47566,0.44444,0.31046,0.172,0.47566,0.44444,0.29077,0.17598,2.16181,12.6673,3.13969,1.74983,0.0115023,0.000502316,0.000502316
46,147.888,1.03538,0.489,0.9247,1.05023,0.39492,0.43597,0.33841,0.16326,0.39492,0.43597,0.32732,0.19076,2.28928,7.6267,2.95724,1.82636,0.0095046,0.000504595,0.000504595
